date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:20	11700/11700	---M--	200	added ('OK')	text/html	etag:%222db4-5805db095f6f5%22	http://localhost/settic-static-website/static/js/assets/typed.js@2.0.9	localhost/settic-static-website/static/js/assets/typed.js@2.0.html	(from http://localhost/settic-static-website/)
16:08:22	1612/1612	---M-Z	200	added ('OK')	application/javascript	etag:%2264c-5805dd652281a-gzip%22	http://localhost/settic-static-website/static/js/custom/index.js	localhost/settic-static-website/static/js/custom/index.js	(from http://localhost/settic-static-website/)
16:08:26	182880/182880	---M--	200	added ('OK')	image/jpeg	etag:%222ca60-58059d117dd00%22	http://localhost/settic-static-website/static/images/c2.jpg	localhost/settic-static-website/static/images/c2.jpg	(from http://localhost/settic-static-website/)
16:08:27	1716/1716	---M-Z	200	added ('OK')	text/css	etag:%226b4-5805963c8e176-gzip%22	http://localhost/settic-static-website/static/css/custom/about.css	localhost/settic-static-website/static/css/custom/about.css	(from http://localhost/settic-static-website/about.php)
16:08:28	0/0	---M--	200	added ('OK')	application/javascript	etag:%220-5803b20e437aa%22	http://localhost/settic-static-website/static/js/custom/about.js	localhost/settic-static-website/static/js/custom/about.js	(from http://localhost/settic-static-website/about.php)
16:08:29	398/398	---M-Z	200	added ('OK')	text/css	etag:%2218e-5805a389cc654-gzip%22	http://localhost/settic-static-website/static/css/custom/deee.css	localhost/settic-static-website/static/css/custom/deee.css	(from http://localhost/settic-static-website/deee.php)
16:08:31	194197/194197	---M--	200	added ('OK')	image/jpeg	etag:%222f695-57b8fd767d800%22	http://localhost/settic-static-website/static/images/c3.jpg	localhost/settic-static-website/static/images/c3.jpg	(from http://localhost/settic-static-website/)
16:08:31	225/225	---M-Z	200	added ('OK')	application/javascript	etag:%22e1-5803dbea88512-gzip%22	http://localhost/settic-static-website/static/js/custom/deee.js	localhost/settic-static-website/static/js/custom/deee.js	(from http://localhost/settic-static-website/deee.php)
16:08:31	650/650	---M-Z	200	added ('OK')	text/css	etag:%2228a-5805a389ed98c-gzip%22	http://localhost/settic-static-website/static/css/custom/accompagnement.css	localhost/settic-static-website/static/css/custom/accompagnement.css	(from http://localhost/settic-static-website/accompagnement.php)
16:08:35	1259/1259	---M--	200	added ('OK')	image/png	etag:%224eb-5803d54ed9691%22	http://localhost/settic-static-website/static/icons/inventaire.png	localhost/settic-static-website/static/icons/inventaire.png	(from http://localhost/settic-static-website/accompagnement.php)
16:08:37	2873/2873	---M--	200	added ('OK')	image/png	etag:%22b39-5803d5d59e6fc%22	http://localhost/settic-static-website/static/icons/audit.png	localhost/settic-static-website/static/icons/audit.png	(from http://localhost/settic-static-website/accompagnement.php)
16:08:39	4635/4635	---M--	200	added ('OK')	image/png	etag:%22121b-5803d64592aa3%22	http://localhost/settic-static-website/static/icons/crowd.png	localhost/settic-static-website/static/icons/crowd.png	(from http://localhost/settic-static-website/accompagnement.php)
16:08:39	1389/1389	---M-Z	200	added ('OK')	text/css	etag:%2256d-5805a389d33b3-gzip%22	http://localhost/settic-static-website/static/css/custom/services-box.css	localhost/settic-static-website/static/css/custom/services-box.css	(from http://localhost/settic-static-website/box.php)
16:08:41	194/194	---M-Z	200	added ('OK')	text/css	etag:%22c2-5805e3e134aed-gzip%22	http://localhost/settic-static-website/static/css/custom/client.css	localhost/settic-static-website/static/css/custom/client.css	(from http://localhost/settic-static-website/deee-management.php)
16:08:41	339/339	---M-Z	200	added ('OK')	text/css	etag:%22153-5805963c8d1d5-gzip%22	http://localhost/settic-static-website/static/css/custom/contact.css	localhost/settic-static-website/static/css/custom/contact.css	(from http://localhost/settic-static-website/contact.php)
16:08:43	0/0	---M--	200	added ('OK')	application/javascript	etag:%220-5803b20e437aa%22	http://localhost/settic-static-website/static/js/custom/contact.js	localhost/settic-static-website/static/js/custom/contact.js	(from http://localhost/settic-static-website/contact.php)
16:08:45	504/504	---M--	200	added ('OK')	image/svg+xml	etag:%221f8-5805e327fcccd%22	http://localhost/settic-static-website/static/loaders/jumping_ball.svg	localhost/settic-static-website/static/loaders/jumping_ball.svg	(from http://localhost/settic-static-website/client.php)
16:09:05	239234/239234	---M--	200	added ('OK')	image/jpeg	etag:%223a682-5803b20e4186a%22	http://localhost/settic-static-website/static/images/electronic_waste.jpg	localhost/settic-static-website/static/images/electronic_waste.jpg	(from http://localhost/settic-static-website/static/css/custom/style.css)
16:09:05	371786/371786	---M--	200	added ('OK')	image/jpeg	etag:%225ac4a-51c74024df200%22	http://localhost/settic-static-website/static/images/demantelement.jpg	localhost/settic-static-website/static/images/demantelement.jpg	(from http://localhost/settic-static-website/)
16:09:11	76977/76977	---M--	200	added ('OK')	image/jpeg	etag:%2212cb1-5803b20e4280a%22	http://localhost/settic-static-website/static/images/kid_waste.jpg	localhost/settic-static-website/static/images/kid_waste.jpg	(from http://localhost/settic-static-website/static/css/custom/about.css)
